run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,mft_entries_parsed,sectors_wasted,time_to_first_file
26,MFT-First,2026-07-30T21:47:02.269567,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.51455000000715,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
27,MFT-First,2026-07-30T21:47:02.316197,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,44.972519999646465,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
28,MFT-First,2026-07-30T21:47:02.363690,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.85770099947695,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
29,MFT-First,2026-07-30T21:47:02.410553,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,45.201962000646745,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
30,MFT-First,2026-07-30T21:47:02.458837,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,46.60085200157482,b13216d954cf42a8,30,28,0,0.9533127755316475,0.9999314739943809,42,1,2809
1,Carving,2026-07-30T21:47:02.653198,0.0,0.0,0.0,0.0,19296,192.67799699991883,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
2,Carving,2026-07-30T21:47:02.845800,0.0,0.0,0.0,0.0,19296,190.93996700030402,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
3,Carving,2026-07-30T21:47:03.038146,0.0,0.0,0.0,0.0,19296,190.6368099989777,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
4,Carving,2026-07-30T21:47:03.231253,0.0,0.0,0.0,0.0,19296,191.38171099984902,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
5,Carving,2026-07-30T21:47:03.424647,0.0,0.0,0.0,0.0,19296,191.66972400125815,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
6,Carving,2026-07-30T21:47:03.618091,0.0,0.0,0.0,0.0,19296,191.72839900056715,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
7,Carving,2026-07-30T21:47:03.811887,0.0,0.0,0.0,0.0,19296,192.06245900022623,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
8,Carving,2026-07-30T21:47:04.006241,0.0,0.0,0.0,0.0,19296,192.59818099999393,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
9,Carving,2026-07-30T21:47:04.198825,0.0,0.0,0.0,0.0,19296,190.8269100003963,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
10,Carving,2026-07-30T21:47:04.392433,0.0,0.0,0.0,0.0,19296,191.90335999883246,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
11,Carving,2026-07-30T21:47:04.585147,0.0,0.0,0.0,0.0,19296,190.9990279982594,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
12,Carving,2026-07-30T21:47:04.777895,0.0,0.0,0.0,0.0,19296,191.0461679999571,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
13,Carving,2026-07-30T21:47:04.971528,0.0,0.0,0.0,0.0,19296,191.92875699991419,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
14,Carving,2026-07-30T21:47:05.165835,0.0,0.0,0.0,0.0,19296,192.5839649993577,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
15,Carving,2026-07-30T21:47:05.359554,0.0,0.0,0.0,0.0,19296,191.9582310001715,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
16,Carving,2026-07-30T21:47:05.553784,0.0,0.0,0.0,0.0,19296,192.4476650001452,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
17,Carving,2026-07-30T21:47:05.754106,0.0,0.0,0.0,0.0,19296,198.55653999911738,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
18,Carving,2026-07-30T21:47:05.947056,0.0,0.0,0.0,0.0,19296,191.15268499990634,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
19,Carving,2026-07-30T21:47:06.141339,0.0,0.0,0.0,0.0,19296,192.50345599903085,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
20,Carving,2026-07-30T21:47:06.334731,0.0,0.0,0.0,0.0,19296,191.6134900002362,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
21,Carving,2026-07-30T21:47:06.528764,0.0,0.0,0.0,0.0,19296,192.27571600094961,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
22,Carving,2026-07-30T21:47:06.722849,0.0,0.0,0.0,0.0,19296,192.3673940000299,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
23,Carving,2026-07-30T21:47:06.916223,0.0,0.0,0.0,0.0,19296,191.66841500009468,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
24,Carving,2026-07-30T21:47:07.110132,0.0,0.0,0.0,0.0,19296,192.1686369987583,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
25,Carving,2026-07-30T21:47:07.304042,0.0,0.0,0.0,0.0,19296,192.18256999920413,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
26,Carving,2026-07-30T21:47:07.497084,0.0,0.0,0.0,0.0,19296,191.27053299962427,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
27,Carving,2026-07-30T21:47:07.690725,0.0,0.0,0.0,0.0,19296,191.93669699961902,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
28,Carving,2026-07-30T21:47:07.883561,0.0,0.0,0.0,0.0,19296,191.12487799975497,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
29,Carving,2026-07-30T21:47:08.076944,0.0,0.0,0.0,0.0,19296,191.66041399876121,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
30,Carving,2026-07-30T21:47:08.270451,0.0,0.0,0.0,0.0,19296,191.8041879998782,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,0,19288,19296
