run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum
19,MFT-First,2026-07-30T22:00:00.382704,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.59393700059445,b13216d954cf42a8,30,28
20,MFT-First,2026-07-30T22:00:00.441363,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.661525999516016,b13216d954cf42a8,30,28
21,MFT-First,2026-07-30T22:00:00.497926,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.504646999703255,b13216d954cf42a8,30,28
22,MFT-First,2026-07-30T22:00:00.555631,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.71117299950856,b13216d954cf42a8,30,28
23,MFT-First,2026-07-30T22:00:00.612217,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.56839500038768,b13216d954cf42a8,30,28
24,MFT-First,2026-07-30T22:00:00.670643,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,56.4121890001843,b13216d954cf42a8,30,28
25,MFT-First,2026-07-30T22:00:00.726883,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.25627000113309,b13216d954cf42a8,30,28
26,MFT-First,2026-07-30T22:00:00.784392,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,55.55656899923633,b13216d954cf42a8,30,28
27,MFT-First,2026-07-30T22:00:00.843715,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,57.29766500007827,b13216d954cf42a8,30,28
28,MFT-First,2026-07-30T22:00:00.900589,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.88989300101821,b13216d954cf42a8,30,28
29,MFT-First,2026-07-30T22:00:00.957573,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.98769999940123,b13216d954cf42a8,30,28
30,MFT-First,2026-07-30T22:00:01.014030,0.9589,0.9725,0.9859992884805128,0.9333333333333333,14593,54.43405500045628,b13216d954cf42a8,30,28
1,Carving,2026-07-30T22:00:01.212903,0.0,0.0,0.0,0.0,19296,196.8122870002844,7cb03b75dd0ddd65,1,0
2,Carving,2026-07-30T22:00:01.409531,0.0,0.0,0.0,0.0,19296,194.82627399884223,7cb03b75dd0ddd65,1,0
3,Carving,2026-07-30T22:00:01.604877,0.0,0.0,0.0,0.0,19296,193.61527000000933,7cb03b75dd0ddd65,1,0
4,Carving,2026-07-30T22:00:01.800746,0.0,0.0,0.0,0.0,19296,194.12785900021845,7cb03b75dd0ddd65,1,0
5,Carving,2026-07-30T22:00:01.994687,0.0,0.0,0.0,0.0,19296,192.2265229986806,7cb03b75dd0ddd65,1,0
6,Carving,2026-07-30T22:00:02.190325,0.0,0.0,0.0,0.0,19296,193.92397000046913,7cb03b75dd0ddd65,1,0
7,Carving,2026-07-30T22:00:02.384611,0.0,0.0,0.0,0.0,19296,192.57499800005462,7cb03b75dd0ddd65,1,0
