run,motor,timestamp,overall_utility,rvs,fqs,recovery_rate,read_count,runtime_ms,result_hash,files_recovered,files_correct_checksum,files_missing,integrity_score,read_efficiency,seed
9,Carving,2026-07-30T21:58:19.126544,0.0,0.0,0.0,0.0,19296,193.58783200004837,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
10,Carving,2026-07-30T21:58:19.322833,0.0,0.0,0.0,0.0,19296,194.51057599872001,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
11,Carving,2026-07-30T21:58:19.526266,0.0,0.0,0.0,0.0,19296,201.60672000019986,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
12,Carving,2026-07-30T21:58:19.724036,0.0,0.0,0.0,0.0,19296,195.96456100043724,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
13,Carving,2026-07-30T21:58:19.921268,0.0,0.0,0.0,0.0,19296,195.45036199997412,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
14,Carving,2026-07-30T21:58:20.118211,0.0,0.0,0.0,0.0,19296,195.1970779991825,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
15,Carving,2026-07-30T21:58:20.315413,0.0,0.0,0.0,0.0,19296,195.44393599971954,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
16,Carving,2026-07-30T21:58:20.512430,0.0,0.0,0.0,0.0,19296,195.24309299958986,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
17,Carving,2026-07-30T21:58:20.711078,0.0,0.0,0.0,0.0,19296,196.85806699999375,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
18,Carving,2026-07-30T21:58:20.906751,0.0,0.0,0.0,0.0,19296,193.9276869998139,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
19,Carving,2026-07-30T21:58:21.103614,0.0,0.0,0.0,0.0,19296,195.11823500033643,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
20,Carving,2026-07-30T21:58:21.299619,0.0,0.0,0.0,0.0,19296,194.24565699955565,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
21,Carving,2026-07-30T21:58:21.495671,0.0,0.0,0.0,0.0,19296,194.23934499900497,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
22,Carving,2026-07-30T21:58:21.691264,0.0,0.0,0.0,0.0,19296,193.87162000020908,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
23,Carving,2026-07-30T21:58:21.886446,0.0,0.0,0.0,0.0,19296,193.47444400045788,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
24,Carving,2026-07-30T21:58:22.081717,0.0,0.0,0.0,0.0,19296,193.55204299972684,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
25,Carving,2026-07-30T21:58:22.278045,0.0,0.0,0.0,0.0,19296,194.5948579996184,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
26,Carving,2026-07-30T21:58:22.473686,0.0,0.0,0.0,0.0,19296,193.9123110005312,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
27,Carving,2026-07-30T21:58:22.669269,0.0,0.0,0.0,0.0,19296,193.8366730009875,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
28,Carving,2026-07-30T21:58:22.865139,0.0,0.0,0.0,0.0,19296,194.0832769996632,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
29,Carving,2026-07-30T21:58:23.061278,0.0,0.0,0.0,0.0,19296,194.41473000006226,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
30,Carving,2026-07-30T21:58:23.256841,0.0,0.0,0.0,0.0,19296,193.82893799956946,7cb03b75dd0ddd65,1,0,30,0.3001243781094527,0.0004145936981757581,42
1,MFT-First,2026-07-30T21:58:24.345160,0.9983,0.9989,0.999447883017958,0.9333333333333333,18121,297.58164800114173,26b53c1cde5ee9d1,30,28,0,0.9533167779555949,0.9999448154075382,1337
